IdStart	IdEnd	Length
218	53	10.66596149
219	219	477.0092058
219	1215	1312.27175
219	1660	136.1191288
219	1712	114.7225402
220	188	883.9403404
220	220	266.9482482
220	2535	680.0755365
220	2541	388.1497727
221	200	67.85075225
222	222	200.7996119
222	541	694.0621989
223	498	7.390019873
224	1105	11.93873382
225	225	40.96648081
226	226	107.1555461
226	528	526.5733055
226	1056	420.5696008
227	227	152.4530603
227	303	351.4572625
228	227	99.17802567
229	2165	34.84363494
230	1615	3.283935134
231	1606	94.34119371
232	2294	79.94307186
234	983	23.06604237
236	69	20.36499086
237	196	7.744588382
238	1303	11.307106
239	2273	34.227621
240	2143	38.27502447
241	1187	648.602056
242	1135	608.5918676
243	1412	68.05384753
244	992	11.96000538
245	993	0.985499508
246	246	2.899081908
246	342	307.9636552
246	1227	191.7264577
247	246	21.61267943
248	1633	20.59022427
249	252	7.988828156
250	2162	29.63084627
251	2237	16.17372787
252	1411	42.15094011
253	249	18.36793255
259	559	3.6506333
260	1258	1.264775412
261	345	60.84905702
262	547	4.397537859
263	343	8.130151349
263	1306	297.0178003
264	1330	70.65563786
265	264	1.228595015
266	262	71.68586916
267	2270	21.58419965
268	268	1.936463287
268	2229	115.0595739
269	243	54.24530058
270	1853	57.89719557
271	1767	40.95056567
272	271	0.286061632
273	276	137.2963949
273	1278	76.83008045
274	273	0.12055553
275	274	14.90070811
276	278	17.93758015
278	270	0.04602624
279	918	230.0138873
280	1262	25.21913156
281	281	664.2551572
281	359	48.12552467
281	467	1468.342913
281	2549	959.6756807
282	314	3.892372456
283	1857	0.34942578
284	2369	7.23465555
285	1481	33.94496695
286	292	4.693108438
287	88	1.351828209
288	135	9.753893815
290	1234	8.112580137
291	293	9.353163505
292	319	4.264605173
293	290	2.829557966
294	79	9.316351159
295	1484	1.468706954
296	97	12.29277576
297	334	32.45432871
298	133	9.115015098
299	2155	13.78313362
302	58	2.921143186
303	303	85.51697339
303	2551	81.54073521
304	2251	9.558122254
305	144	16.2574437
306	1768	17.40061286
307	1053	95.27193891
308	1867	10.04221005
309	1273	35.18925911
310	737	0.003247691
311	415	19.4204926
312	2347	4.735993957
313	1770	0.953090416
314	412	10.70239596
315	1725	27.52881266
316	2005	1.756029715
317	317	38.18508952
317	1971	8.741155659
317	2424	26.65827936
318	236	61.96290088
319	141	1.383283068
320	102	2.298003515
321	295	7.586900659
322	2322	7.820202343
323	1078	20.28371456
323	1819	120.4656594
324	732	27.82132956
325	136	0.943788859
326	87	2.809418255
327	1425	36.01422396
328	328	10.29628843
328	1595	1.742996724
329	329	95.48229608
329	1672	436.9941647
330	2267	1103.628053
331	1743	1.789866775
332	1917	0.425390322
333	130	89.64902478
334	165	7.207476369
335	464	22.29024401
336	330	3278.422637
336	336	139.4672961
336	582	774.8826198
336	2236	1838.627102
336	2269	1054.732668
336	2364	1281.355872
337	627	2.64480683
338	1630	0.506189501
339	1631	3.276915172
340	2225	5.43259985
341	2341	57.04007
342	343	202.4201004
343	263	8.130168047
343	1674	173.6787466
344	266	1.152812338
345	346	119.3041556
346	341	0.552792301
347	2208	389.6084662
348	348	24.95333632
348	349	16.33002161
349	350	15.35838837
350	390	51.40600449
351	377	6.963757828
352	352	103.1012843
352	1258	116.7399308
352	1637	375.2920291
352	1672	287.7386256
352	2192	192.683739
352	2397	224.8254746
353	353	33.926399
353	1215	1091.276209
353	1672	136.2200617
354	353	74.25200516
355	354	135.6058238
356	355	50.11345555
357	1904	19.50493695
358	867	152.8553024
359	281	179.7180868
359	359	48.51272159
359	362	182.0483952
360	1099	3.390673546
361	152	49.66161707
362	359	116.3433651
362	362	65.68859118
362	1748	16.85676913
363	625	48.48016751
364	365	91.93697886
365	230	15.08782676
366	325	9.479447396
367	1023	25.06764343
368	1253	16.14454081
369	1579	7.507223473
370	1609	9.307391446
371	2124	3.130065917
372	906	2.833808897
373	372	16.41279301
374	375	5.121839379
375	163	123.133151
376	1861	44.89584516
377	378	31.78668267
378	348	57.60213069
379	380	93.3249868
379	1641	122.5121922
380	379	93.32406655
380	1583	37.52421491
381	2060	6.544134071
382	383	38.12141883
383	705	8.95041683
384	1318	166.9642101
385	1248	43.03680789
386	1429	18.20346214
387	2068	30.90309045
388	2033	5.269016215
389	2141	18.28223583
390	2195	79.65390448
391	1156	4.750831466
392	393	2.641983889
393	1991	49.15168592
394	2003	24.54353005
395	30	1.046776043
396	1000	74.56709066
397	730	21.57336967
398	380	170.9176947
398	398	16.76790085
398	1462	227.8192104
398	1802	16.61138751
399	1946	24.78054292
400	2412	5.712936175
401	765	14.73410266
402	1628	13.87345838
403	1622	0.093626322
404	1017	12.96715388
405	920	1.253881021
406	1636	57.17057574
407	1842	9.812559782
408	308	12.08320399
409	858	10.77756845
410	1007	1.060476056
411	410	6.62145492
412	2105	10.25520308
413	1372	6.526183709
413	2041	120.0266939
413	2042	197.2410555
414	1235	48.34535982
415	1879	24.32456477
416	1954	11.73180325
417	1909	0.025135109
418	828	24.56734719
419	419	12.51419219
419	706	16.37572986
419	816	14.10226709
419	1229	39.86159425
419	1649	18.24255254
420	2375	5.463506385
421	2374	22.01593097
422	1073	76.47231974
423	1519	12.48328905
424	769	33.16613248
425	1972	6.856074777
426	116	44.66498265
427	879	92.65909639
428	1469	156.6373601
429	2231	36.0332639
430	587	126.5399127
431	433	45.31229885
432	2091	2264.01403
432	2257	672.3052171
433	432	1.496269249
433	433	1.429694951
433	434	6.235878667
434	433	6.526255811
434	434	5.221361257
435	436	5.027433813
436	558	17.97024539
